NFLX,Netflix,8.99,30,0
HULU,Hulu,5.99,30,1
DISN,Disney+,6.99,0,0
APPL,Apple TV+,4.99,7,0
PEAC,Peacock,0,7,1
AZPV,Amazon Prime Video,8.99,7,0
HBOM,HBO Max,14.99,7,0
CBSA,CBS All Access,5.99,7,1
